AU1 intensity, Corr - 0.681, RMS - 0.838, CCC - 0.578
AU2 intensity, Corr - 0.664, RMS - 0.829, CCC - 0.613
AU4 intensity, Corr - 0.771, RMS - 0.675, CCC - 0.729
AU5 intensity, Corr - 0.748, RMS - 0.750, CCC - 0.680
AU6 intensity, Corr - 0.556, RMS - 0.777, CCC - 0.523
AU7 intensity, Corr - 0.829, RMS - 0.750, CCC - 0.812
AU9 intensity, Corr - 0.757, RMS - 0.618, CCC - 0.701
AU10 intensity, Corr - 0.473, RMS - 0.821, CCC - 0.433
AU12 intensity, Corr - 0.820, RMS - 0.689, CCC - 0.780
AU14 intensity, Corr - 0.352, RMS - 0.961, CCC - 0.266
AU15 intensity, Corr - 0.482, RMS - 0.790, CCC - 0.365
AU17 intensity, Corr - 0.557, RMS - 0.981, CCC - 0.454
AU20 intensity, Corr - 0.425, RMS - 0.892, CCC - 0.288
AU23 intensity, Corr - 0.356, RMS - 0.659, CCC - 0.292
AU25 intensity, Corr - 0.793, RMS - 0.932, CCC - 0.750
AU26 intensity, Corr - 0.522, RMS - 0.975, CCC - 0.453
AU45 intensity, Corr - 0.854, RMS - 0.611, CCC - 0.817
