aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
,,,,Pass,0,sample_data/subj02_timepoint01.mp4
,,,,Pass,1,sample_data/subj02_timepoint01.mp4
,,,,Pass,2,sample_data/subj02_timepoint01.mp4
,,,,Pass,3,sample_data/subj02_timepoint01.mp4
,,,,Pass,4,sample_data/subj02_timepoint01.mp4
,,,,Pass,5,sample_data/subj02_timepoint01.mp4
,,,,Pass,6,sample_data/subj02_timepoint01.mp4
,,,,Pass,7,sample_data/subj02_timepoint01.mp4
,,,,Pass,8,sample_data/subj02_timepoint01.mp4
,,,,Pass,9,sample_data/subj02_timepoint01.mp4
,,,,Pass,10,sample_data/subj02_timepoint01.mp4
,,,,Pass,11,sample_data/subj02_timepoint01.mp4
,,,,Pass,12,sample_data/subj02_timepoint01.mp4
,,,,Pass,13,sample_data/subj02_timepoint01.mp4
,,,,Pass,14,sample_data/subj02_timepoint01.mp4
,,,,Pass,15,sample_data/subj02_timepoint01.mp4
,,,,Pass,16,sample_data/subj02_timepoint01.mp4
,,,,Pass,17,sample_data/subj02_timepoint01.mp4
,,,,Pass,18,sample_data/subj02_timepoint01.mp4
,,,,Pass,19,sample_data/subj02_timepoint01.mp4
,,,,Pass,20,sample_data/subj02_timepoint01.mp4
,,,,Pass,21,sample_data/subj02_timepoint01.mp4
,,,,Pass,22,sample_data/subj02_timepoint01.mp4
,,,,Pass,23,sample_data/subj02_timepoint01.mp4
651.3795110603165,1928.1262574799277,2427.8626563101875,3333.842271910155,Pass,24,sample_data/subj02_timepoint01.mp4
635.2605332453759,1939.7525058826664,2453.2459308734688,3307.594358199652,Pass,25,sample_data/subj02_timepoint01.mp4
615.2610016850782,1950.111990583632,2498.0177645849726,3278.3678556670375,Pass,26,sample_data/subj02_timepoint01.mp4
593.729816218023,1955.792863515204,2560.3910441701173,3257.811720683232,Pass,27,sample_data/subj02_timepoint01.mp4
570.8705395813164,1956.7489683671877,2628.4558598932354,3260.0245698567082,Pass,28,sample_data/subj02_timepoint01.mp4
547.4692605640104,1953.6229183611206,2665.056150920158,3309.4241051311024,Pass,29,sample_data/subj02_timepoint01.mp4
524.9717477158139,1947.3400406921564,2651.186115674903,3393.76088774737,Pass,30,sample_data/subj02_timepoint01.mp4
505.3939332811416,1939.0032241955635,2605.7325333809245,3463.3463579593954,Pass,31,sample_data/subj02_timepoint01.mp4
490.89094045015116,1929.9924887771117,2542.558411022366,3496.695124147948,Pass,32,sample_data/subj02_timepoint01.mp4
482.9828821141767,1921.754652518752,2464.8237042320775,3501.0955203565118,Pass,33,sample_data/subj02_timepoint01.mp4
481.70236765349983,1913.4912794946051,2376.825218173315,3492.025507109349,Pass,34,sample_data/subj02_timepoint01.mp4
485.2012932401185,1891.3682074157582,2302.5446559162415,3482.7726963816235,Pass,35,sample_data/subj02_timepoint01.mp4
490.38192277775624,1837.7712936032399,2273.6167105430227,3480.794275488096,Pass,36,sample_data/subj02_timepoint01.mp4
494.29583802818075,1780.4038793411444,2270.2765461017443,3488.802787258399,Pass,37,sample_data/subj02_timepoint01.mp4
495.1474905622885,1737.074977884412,2273.15529369328,3506.6279329693966,Pass,38,sample_data/subj02_timepoint01.mp4
492.3197334410161,1705.7857434664722,2277.3042514718554,3531.3868010017227,Pass,39,sample_data/subj02_timepoint01.mp4
485.9105213072514,1679.6907560166226,2282.0306666787064,3557.677405957588,Pass,40,sample_data/subj02_timepoint01.mp4
476.316745789789,1653.4084077902153,2287.316486315562,3579.4759624399057,Pass,41,sample_data/subj02_timepoint01.mp4
463.98194525186096,1624.590519549825,2293.2639895097636,3592.6530874577147,Pass,42,sample_data/subj02_timepoint01.mp4
449.36480939710276,1594.077563447066,2299.9261415083283,3596.2162482829744,Pass,43,sample_data/subj02_timepoint01.mp4
433.30470999564983,1565.3228616830627,2307.175711378292,3592.415579892128,Pass,44,sample_data/subj02_timepoint01.mp4
417.5704395312396,1542.6785155479508,2314.6292134789505,3585.927483357069,Pass,45,sample_data/subj02_timepoint01.mp4
404.7112130571625,1528.9749068353997,2321.6713853138126,3581.9130583063347,Pass,46,sample_data/subj02_timepoint01.mp4
396.75836650627446,1524.0226886505104,2327.616603957736,3583.93771055068,Pass,47,sample_data/subj02_timepoint01.mp4
394.03734222495274,1524.778232097947,2331.9321590866884,3592.819208452112,Pass,48,sample_data/subj02_timepoint01.mp4
395.50205722023173,1526.7466497464138,2334.3800107047036,3606.7760782305354,Pass,49,sample_data/subj02_timepoint01.mp4
399.87209328282177,1525.9122796504719,2335.032262389436,3622.6755335054945,Pass,50,sample_data/subj02_timepoint01.mp4
406.2106699561027,1520.2760548784324,2334.2288247136516,3637.5312495351986,Pass,51,sample_data/subj02_timepoint01.mp4
413.858390931321,1510.1717522675644,2332.5251181782146,3649.374883328596,Pass,52,sample_data/subj02_timepoint01.mp4
422.2379285075628,1497.4068858727883,2330.619177615503,3657.350789620632,Pass,53,sample_data/subj02_timepoint01.mp4
430.740935715029,1484.0710176742805,2329.2381742684047,3661.4137975476306,Pass,54,sample_data/subj02_timepoint01.mp4
438.65759711689213,1471.7536212151338,2328.964519237916,3662.00233247084,Pass,55,sample_data/subj02_timepoint01.mp4
445.13058332823346,1461.3289629599672,2330.0145743822845,3659.9142838107696,Pass,56,sample_data/subj02_timepoint01.mp4
449.2292647302615,1453.1123983744308,2332.088878259059,3656.4927962321913,Pass,57,sample_data/subj02_timepoint01.mp4
450.2711436510281,1447.1815038624034,2334.4623721949115,3653.9202258732075,Pass,58,sample_data/subj02_timepoint01.mp4
448.2994774839728,1443.7211015195019,2336.306452648525,3655.044295751652,Pass,59,sample_data/subj02_timepoint01.mp4
444.2816942595005,1443.2406927759769,2337.001778207459,3662.550928304274,Pass,60,sample_data/subj02_timepoint01.mp4
439.6996274276176,1446.4890987157412,2336.26827189559,3678.267072493217,Pass,61,sample_data/subj02_timepoint01.mp4
435.8299874262715,1453.947020434877,2334.1831013160713,3703.0880024204757,Pass,62,sample_data/subj02_timepoint01.mp4
433.28746978849654,1465.0687786910883,2331.173640907469,3736.5800054712777,Pass,63,sample_data/subj02_timepoint01.mp4
431.99696091855117,1477.9721841055227,2327.913448267698,3774.930454197143,Pass,64,sample_data/subj02_timepoint01.mp4
431.35906964162285,1490.1407662324634,2325.056183754005,3807.9423159746675,Pass,65,sample_data/subj02_timepoint01.mp4
430.425041681917,1499.597539915931,2322.9547381378384,3820.293186363945,Pass,66,sample_data/subj02_timepoint01.mp4
428.1257736530874,1505.5718110099685,2321.6163582451522,3802.2222721657727,Pass,67,sample_data/subj02_timepoint01.mp4
423.6781653907448,1508.3839629716142,2320.919832814386,3759.865306857453,Pass,68,sample_data/subj02_timepoint01.mp4
417.190440136876,1508.854625984751,2320.830434071614,3709.940543974027,Pass,69,sample_data/subj02_timepoint01.mp4
410.09823480525336,1507.567653191373,2321.3791748095728,3666.0736565060256,Pass,70,sample_data/subj02_timepoint01.mp4
404.61448444043236,1504.2323328720029,2322.454246684873,3632.606751902561,Pass,71,sample_data/subj02_timepoint01.mp4
402.2733835782519,1497.548642460114,2323.6711560822737,3607.144965669711,Pass,72,sample_data/subj02_timepoint01.mp4
403.22173231503496,1486.060400668823,2324.5303409365943,3585.818386334871,Pass,73,sample_data/subj02_timepoint01.mp4
406.77681299091915,1469.8840269876648,2324.739668258424,3567.316928873281,Pass,74,sample_data/subj02_timepoint01.mp4
412.10976118921536,1452.0971777054688,2324.364596719529,3553.8699575267447,Pass,75,sample_data/subj02_timepoint01.mp4
418.5251786903826,1437.9043942235571,2323.67908786073,3549.1742618793455,Pass,76,sample_data/subj02_timepoint01.mp4
425.4841754222094,1431.6058630377227,2322.9458951127162,3555.536501216943,Pass,77,sample_data/subj02_timepoint01.mp4
432.47928751972773,1434.4954732156737,2322.3215880642115,3572.6284782346,Pass,78,sample_data/subj02_timepoint01.mp4
438.8605157818417,1445.4257627573095,2321.840885019966,3598.0626393911552,Pass,79,sample_data/subj02_timepoint01.mp4
443.76367563701035,1462.3749555938518,2321.430726015217,3628.5135007164563,Pass,80,sample_data/subj02_timepoint01.mp4
446.25405053720766,1483.3282541783003,2320.947300773902,3660.2784934063898,Pass,81,sample_data/subj02_timepoint01.mp4
445.69235352125725,1506.371086859432,2320.2075887537612,3689.152452636562,Pass,82,sample_data/subj02_timepoint01.mp4
442.14311228689877,1529.53808382572,2318.9906132503575,3710.42002084276,Pass,83,sample_data/subj02_timepoint01.mp4
