fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,1.04,1.36,0.0,0.99,0.64,2.01,0.0,0.41,0.0,0.04,0.08,0.57,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.07,1.48,0.09,0.92,0.57,1.93,0.0,0.38,0.0,0.04,0.03,0.44,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.09,1.54,0.13,0.92,0.52,1.92,0.0,0.38,0.0,0.05,0.01,0.37,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.067,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.08,1.58,0.07,0.91,0.51,1.84,0.0,0.44,0.02,0.03,0.0,0.4,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.1,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.12,1.6,0.04,0.98,0.55,1.91,0.0,0.44,0.02,0.02,0.0,0.36,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.133,0.98,1,sample_data/subj02_timepoint02.mp4
0.14,0.0,0.0,0.0,1.06,1.88,0.0,1.08,0.63,1.91,0.0,0.33,0.02,0.0,0.0,0.32,0.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0.16699999999999998,0.98,1,sample_data/subj02_timepoint02.mp4
0.18,0.0,0.0,0.0,1.03,1.86,0.0,1.24,0.67,2.14,0.05,0.29,0.03,0.0,0.0,0.27,1.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0.2,0.98,1,sample_data/subj02_timepoint02.mp4
0.18,0.0,0.0,0.0,1.05,1.91,0.0,1.24,0.71,2.25,0.05,0.33,0.05,0.0,0.05,0.25,1.89,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0,0.233,0.98,1,sample_data/subj02_timepoint02.mp4
0.04,0.0,0.0,0.0,1.11,1.89,0.0,1.22,0.68,2.18,0.05,0.43,0.05,0.0,0.06,0.19,1.73,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,0,0.267,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.11,1.94,0.0,1.14,0.64,2.0,0.0,0.29,0.02,0.0,0.06,0.09,1.16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,0,0.3,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.08,1.81,0.0,1.14,0.57,1.78,0.0,0.25,0.0,0.0,0.09,0.24,0.55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,0,0.33299999999999996,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.09,1.53,0.0,1.08,0.54,1.64,0.0,0.13,0.0,0.0,0.13,0.48,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,0,0.36700000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.14,1.47,0.0,1.09,0.51,1.58,0.0,0.13,0.0,0.0,0.19,0.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0.4,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.1,1.46,0.01,1.01,0.52,1.67,0.0,0.07,0.0,0.0,0.17,0.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0.433,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.03,1.38,0.01,0.99,0.5,1.83,0.0,0.19,0.0,0.0,0.13,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0.467,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.98,1.37,0.01,0.93,0.49,1.92,0.0,0.32,0.0,0.0,0.09,0.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0.5,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.97,1.19,0.0,0.92,0.45,1.91,0.0,0.43,0.0,0.0,0.03,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0.5329999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.99,1.12,0.0,0.94,0.44,1.91,0.0,0.49,0.0,0.0,0.01,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0.5670000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.95,0.4,1.82,0.0,0.52,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0.6,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.07,0.05,0.91,0.39,1.78,0.0,0.49,0.0,0.0,0.02,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.633,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.02,1.12,0.08,0.89,0.43,1.73,0.0,0.36,0.0,0.0,0.06,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0.667,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.23,0.06,0.81,0.46,1.74,0.0,0.25,0.04,0.0,0.06,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.7,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.09,1.39,0.03,0.75,0.48,1.72,0.0,0.13,0.04,0.0,0.04,0.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.733,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.36,0.03,0.77,0.41,1.7,0.0,0.16,0.04,0.0,0.04,0.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.767,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.04,1.27,0.04,0.82,0.37,1.73,0.0,0.16,0.07,0.0,0.04,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.8,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.04,1.23,0.08,0.92,0.35,1.73,0.0,0.36,0.16,0.05,0.04,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0.833,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.1,1.2,0.06,0.85,0.39,1.72,0.0,0.42,0.16,0.05,0.0,0.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.867,0.98,1,sample_data/subj02_timepoint02.mp4
