AU1 class, Precision - 0.324, Recall - 0.827, F1 - 0.466
AU2 class, Precision - 0.286, Recall - 0.789, F1 - 0.420
AU4 class, Precision - 0.460, Recall - 0.845, F1 - 0.596
AU5 class, Precision - 0.364, Recall - 0.861, F1 - 0.512
AU6 class, Precision - 0.367, Recall - 0.817, F1 - 0.507
AU7 class, Precision - 0.804, Recall - 0.762, F1 - 0.783
AU9 class, Precision - 0.407, Recall - 0.966, F1 - 0.573
AU10 class, Precision - 0.291, Recall - 0.776, F1 - 0.423
AU12 class, Precision - 0.723, Recall - 0.840, F1 - 0.777
AU14 class, Precision - 0.183, Recall - 0.872, F1 - 0.302
AU15 class, Precision - 0.148, Recall - 0.901, F1 - 0.255
AU17 class, Precision - 0.275, Recall - 0.918, F1 - 0.424
AU20 class, Precision - 0.103, Recall - 0.877, F1 - 0.184
AU23 class, Precision - 0.099, Recall - 0.800, F1 - 0.176
AU25 class, Precision - 0.935, Recall - 0.833, F1 - 0.881
AU26 class, Precision - 0.373, Recall - 0.792, F1 - 0.507
AU45 class, Precision - 0.366, Recall - 0.822, F1 - 0.506
