fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.37,0.29,1.44,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.16,0.34,0.0,0.04,0.03,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,sample_data/subj01_timepoint01.mp4
0.59,0.45,1.54,0.02,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.24,0.29,0.12,0.01,0.07,0.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,sample_data/subj01_timepoint01.mp4
0.76,0.59,1.46,0.02,0.0,1.19,0.0,0.0,0.0,0.0,0.03,0.28,0.37,0.12,0.02,0.06,1.48,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0.067,0.98,1,sample_data/subj01_timepoint01.mp4
0.8,0.7,1.42,0.02,0.0,1.03,0.0,0.0,0.0,0.0,0.03,0.33,0.37,0.08,0.12,0.08,2.29,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0.1,0.98,1,sample_data/subj01_timepoint01.mp4
0.79,0.65,1.46,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.03,0.31,0.38,0.0,0.14,0.15,2.38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,0.133,0.98,1,sample_data/subj01_timepoint01.mp4
0.69,0.58,1.67,0.0,0.0,1.43,0.01,0.0,0.0,0.0,0.0,0.3,0.32,0.1,0.12,0.26,1.73,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0.16699999999999998,0.98,1,sample_data/subj01_timepoint01.mp4
0.56,0.42,1.7,0.0,0.0,1.66,0.01,0.0,0.0,0.0,0.0,0.21,0.4,0.19,0.02,0.31,0.95,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0.2,0.98,1,sample_data/subj01_timepoint01.mp4
0.52,0.32,1.64,0.0,0.0,1.7,0.01,0.0,0.0,0.0,0.0,0.18,0.46,0.23,0.03,0.34,0.4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.233,0.98,1,sample_data/subj01_timepoint01.mp4
0.49,0.16,1.54,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.02,0.11,0.51,0.15,0.05,0.3,0.12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.267,0.98,1,sample_data/subj01_timepoint01.mp4
0.5,0.14,1.56,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.06,0.11,0.49,0.08,0.05,0.27,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.3,0.98,1,sample_data/subj01_timepoint01.mp4
