frame,fac_asymmaskmouth,fac_asymmaskeyebrow,fac_asymmaskeye,fac_asymmaskcom,error_reason,face_id,timestamp,confidence,success,dbm_master_url
1,4.547524437061885,1.4672258693646554,1.7061930843815603,2.8396570184004055,pass,0,0.0,0.98,1,sample_data/subj01_timepoint02.mp4
2,5.247562352471401,1.6738357668567794,2.3989494274334935,3.4075460115082143,pass,0,0.033,0.98,1,sample_data/subj01_timepoint02.mp4
3,5.208100112856697,1.7775636892126905,2.1766452543386627,3.3480258355236323,pass,0,0.067,0.98,1,sample_data/subj01_timepoint02.mp4
4,5.354356762769271,1.9881183394356232,2.347474768237979,3.5189628636189556,pass,0,0.1,0.98,1,sample_data/subj01_timepoint02.mp4
5,5.092637084146123,1.7197910084465853,2.028953802044781,3.2375670804037155,pass,0,0.133,0.98,1,sample_data/subj01_timepoint02.mp4
6,4.954004254009184,1.640394753523236,1.861237272388127,3.1053384965272848,pass,0,0.16699999999999998,0.98,1,sample_data/subj01_timepoint02.mp4
7,4.6920549907135385,1.822706531561213,1.684025682439003,2.9870592988499154,pass,0,0.2,0.98,1,sample_data/subj01_timepoint02.mp4
8,4.448252731221022,1.5588055627657267,1.5010283425704498,2.7571694588957634,pass,0,0.233,0.98,1,sample_data/subj01_timepoint02.mp4
9,4.652606570097703,1.6217823948765677,1.7799435360992517,2.9478645132505252,pass,0,0.267,0.98,1,sample_data/subj01_timepoint02.mp4
10,4.601806634370195,1.7141071730230948,1.7045421486913195,2.9269600964328926,pass,0,0.3,0.98,1,sample_data/subj01_timepoint02.mp4
11,4.220177662684018,1.5600011478836255,1.628986216589335,2.7018602284434885,pass,0,0.33299999999999996,0.98,1,sample_data/subj01_timepoint02.mp4
12,4.404601457219481,1.6055524277565727,1.9055222510416525,2.87882670014677,pass,0,0.36700000000000005,0.98,1,sample_data/subj01_timepoint02.mp4
13,4.934762203126183,2.1565446085725286,2.334998661446408,3.382674349292134,pass,0,0.4,0.98,1,sample_data/subj01_timepoint02.mp4
14,4.371712732509923,1.7785251408906557,2.0592123852987503,2.9590316777013244,pass,0,0.433,0.98,1,sample_data/subj01_timepoint02.mp4
15,4.36876649006212,2.214582918519848,2.197311528418728,3.1161534570320297,pass,0,0.467,0.98,1,sample_data/subj01_timepoint02.mp4
16,4.125159336401058,1.9621105464071404,2.0658744768114157,2.9056354886375084,pass,0,0.5,0.98,1,sample_data/subj01_timepoint02.mp4
17,3.8414427135483153,1.8635484843224166,2.0366208837385495,2.751000496443679,pass,0,0.5329999999999999,0.98,1,sample_data/subj01_timepoint02.mp4
18,4.405143187030763,1.9827315851866576,2.1893988080761475,3.0679576984545407,pass,0,0.5670000000000001,0.98,1,sample_data/subj01_timepoint02.mp4
19,4.243746906386861,2.340420418017753,2.3059255988435723,3.1309279439076363,pass,0,0.6,0.98,1,sample_data/subj01_timepoint02.mp4
20,4.262485809331324,2.1774643406562415,2.3045765841105252,3.095508825399734,pass,0,0.633,0.98,1,sample_data/subj01_timepoint02.mp4
21,4.182125361876197,1.9893569021864903,2.306607845489413,3.012812340993605,pass,0,0.667,0.98,1,sample_data/subj01_timepoint02.mp4
22,3.704083547678481,1.8450710200840608,2.297331627113451,2.7706322760278344,pass,0,0.7,0.98,1,sample_data/subj01_timepoint02.mp4
23,4.094002041039884,2.2211068437345176,2.4514333879411776,3.082428993402038,pass,0,0.733,0.98,1,sample_data/subj01_timepoint02.mp4
24,4.182989187024973,2.3597757607974463,2.7656667947024123,3.255620687810605,pass,0,0.767,0.98,1,sample_data/subj01_timepoint02.mp4
25,3.7571137937627617,1.8473110367657768,2.5345752755024695,2.8684693256287255,pass,0,0.8,0.98,1,sample_data/subj01_timepoint02.mp4
26,3.2694148899942808,1.5554743115258065,2.053708803452324,2.4344707104366954,pass,0,0.833,0.98,1,sample_data/subj01_timepoint02.mp4
27,4.049066822883259,1.8063900591993878,2.4203068205639506,2.944543463286669,pass,0,0.867,0.98,1,sample_data/subj01_timepoint02.mp4
28,4.250026463599319,2.4234697730837973,2.5345172986190714,3.2276139139962083,pass,0,0.9,0.98,1,sample_data/subj01_timepoint02.mp4
29,4.319130904743464,1.90867895005176,2.627539621063691,3.1506147218204554,pass,0,0.9329999999999999,0.98,1,sample_data/subj01_timepoint02.mp4
30,4.092704607163235,2.1135213698053668,2.5533302697216786,3.085748701298041,pass,0,0.9670000000000001,0.98,1,sample_data/subj01_timepoint02.mp4
31,3.8548929817284656,1.9120443723682912,2.514575921021211,2.920359012726129,pass,0,1.0,0.98,1,sample_data/subj01_timepoint02.mp4
32,4.037215442184464,1.5927332424651364,2.48175576307391,2.9027328593813078,pass,0,1.033,0.98,1,sample_data/subj01_timepoint02.mp4
33,3.8525195573363304,1.5350235610262037,2.375949212752633,2.776366817912498,pass,0,1.067,0.98,1,sample_data/subj01_timepoint02.mp4
