frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.81,1.12,0.19,0.0,1.24,0.0,0.0,0.0,0.07,0.04,0.11,0.47,0.16,0.02,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.18666666666666668,0.08333333333333333,0.14,0.14166666666666666,0,0,0.19666666666666668,0.09366666666666666,0,0.08333333333333333,0,0.5516666666666667,0.4766666666666667,0.07880952380952382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.14166666666666666,0.0,Pass,sample_data/subj02_timepoint01.mp4
2,0,0.033,0.98,1,0.0,0.35,0.98,0.06,0.0,1.23,0.0,0.03,0.0,0.02,0.1,0.07,0.27,0.12,0.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0,0.0,0.01,0.1075,0.1075,0,0,0.205,0.043,0,0.01,0,0.22499999999999998,0.215,0.03214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
3,0,0.067,0.98,1,0.0,0.09,0.91,0.0,0.0,1.32,0.0,0.03,0.0,0.0,0.09,0.08,0.22,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.9800000000000001,0,0.15166666666666667,0.0,0.12388888888888888,0.12388888888888888,0,0,0.18583333333333332,0.07988888888888888,0,0.0,0,0.39944444444444444,0.3716666666666667,0.05706349206349206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12388888888888888,0.0,Pass,sample_data/subj02_timepoint01.mp4
4,0,0.1,0.98,1,0.0,0.04,0.98,0.0,0.0,1.23,0.0,0.03,0.0,0.0,0.09,0.11,0.25,0.0,0.01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.9800000000000001,0,0.16333333333333333,0.0,0.12277777777777778,0.12277777777777778,0,0,0.18416666666666667,0.08177777777777777,0,0.0,0,0.40888888888888886,0.3683333333333333,0.05841269841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12277777777777778,0.0,Pass,sample_data/subj02_timepoint01.mp4
5,0,0.133,0.98,1,0.0,0.03,1.02,0.0,0.0,1.24,0.01,0.0,0.0,0.0,0.0,0.1,0.22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.9800000000000001,0,0.17,0.0,0.12555555555555553,0.12555555555555553,0,0,0.18833333333333332,0.08422222222222223,0,0.0,0,0.4211111111111111,0.3766666666666667,0.060158730158730155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12555555555555553,0.0,Pass,sample_data/subj02_timepoint01.mp4
6,0,0.16699999999999998,0.98,1,0.0,0.02,1.08,0.03,0.0,1.08,0.04,0.0,0.0,0.0,0.01,0.05,0.15,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.18000000000000002,0.005,0.12166666666666669,0.12166666666666669,0,0,0.18000000000000002,0.08466666666666668,0,0.005,0,0.4283333333333334,0.36500000000000005,0.0611904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12166666666666669,0.0,Pass,sample_data/subj02_timepoint01.mp4
7,0,0.2,0.98,1,0.0,0.01,1.14,0.03,0.0,1.13,0.06,0.0,0.0,0.0,0.01,0.03,0.05,0.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.18999999999999997,0.005,0.12777777777777777,0.12777777777777777,0,0,0.18916666666666662,0.0891111111111111,0,0.005,0,0.4505555555555555,0.3833333333333333,0.06436507936507936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12777777777777777,0.0,Pass,sample_data/subj02_timepoint01.mp4
8,0,0.233,0.98,1,0.0,0.01,1.19,0.03,0.0,1.08,0.05,0.0,0.0,0.0,0.01,0.0,0.05,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.9800000000000001,0,0.19833333333333333,0.005,0.12777777777777777,0.12777777777777777,0,0,0.18916666666666668,0.09077777777777778,0,0.005,0,0.4588888888888889,0.38333333333333336,0.06555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12777777777777777,0.0,Pass,sample_data/subj02_timepoint01.mp4
9,0,0.267,0.98,1,0.0,0.01,1.24,0.0,0.0,1.08,0.04,0.0,0.0,0.01,0.05,0.01,0.12,0.25,0.02,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.9800000000000001,0,0.20666666666666667,0.0,0.12888888888888891,0.12888888888888891,0,0,0.19333333333333336,0.09288888888888891,0,0.0,0,0.46444444444444455,0.3866666666666667,0.06634920634920637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12888888888888891,0.0,Pass,sample_data/subj02_timepoint01.mp4
10,0,0.3,0.98,1,0.0,0.0,1.2,0.0,0.0,1.06,0.05,0.0,0.0,0.01,0.1,0.04,0.21,0.19,0.06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.19999999999999998,0.0,0.12555555555555553,0.12555555555555553,0,0,0.18833333333333332,0.0902222222222222,0,0.0,0,0.451111111111111,0.37666666666666665,0.06444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.12555555555555553,0.0,Pass,sample_data/subj02_timepoint01.mp4
