l0_x,l1_x,l2_x,l3_x,l4_x,l5_x,l6_x,l7_x,l8_x,l9_x,l10_x,l11_x,l12_x,l13_x,l14_x,l15_x,l16_x,l17_x,l18_x,l19_x,l20_x,l21_x,l22_x,l23_x,l24_x,l25_x,l26_x,l27_x,l28_x,l29_x,l30_x,l31_x,l32_x,l33_x,l34_x,l35_x,l36_x,l37_x,l38_x,l39_x,l40_x,l41_x,l42_x,l43_x,l44_x,l45_x,l46_x,l47_x,l48_x,l49_x,l50_x,l51_x,l52_x,l53_x,l54_x,l55_x,l56_x,l57_x,l58_x,l59_x,l60_x,l61_x,l62_x,l63_x,l64_x,l65_x,l66_x,l67_x,l0_y,l1_y,l2_y,l3_y,l4_y,l5_y,l6_y,l7_y,l8_y,l9_y,l10_y,l11_y,l12_y,l13_y,l14_y,l15_y,l16_y,l17_y,l18_y,l19_y,l20_y,l21_y,l22_y,l23_y,l24_y,l25_y,l26_y,l27_y,l28_y,l29_y,l30_y,l31_y,l32_y,l33_y,l34_y,l35_y,l36_y,l37_y,l38_y,l39_y,l40_y,l41_y,l42_y,l43_y,l44_y,l45_y,l46_y,l47_y,l48_y,l49_y,l50_y,l51_y,l52_y,l53_y,l54_y,l55_y,l56_y,l57_y,l58_y,l59_y,l60_y,l61_y,l62_y,l63_y,l64_y,l65_y,l66_y,l67_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
440.396,440.969,445.419,451.081,461.381,478.707,500.981,529.586,564.758,600.175,630.654,655.725,674.041,685.105,691.875,696.88,698.574,461.236,478.688,501.863,525.256,547.824,599.536,622.836,644.471,665.172,679.394,574.516,574.367,574.279,574.147,546.03,558.973,572.282,586.287,598.759,489.367,503.736,522.322,536.944,521.265,502.725,608.659,624.02,642.077,654.881,642.965,625.477,519.452,539.135,557.305,571.505,587.746,605.249,620.618,605.057,587.539,570.44,555.107,537.388,527.803,556.602,571.132,587.707,612.781,587.192,570.749,556.233,301.67,339.752,377.684,414.422,451.008,483.736,511.643,533.897,541.203,536.505,514.978,486.108,453.874,418.984,384.186,348.976,311.939,289.748,277.263,274.071,278.042,284.94,285.321,278.722,276.553,280.539,292.668,311.498,337.301,363.26,389.865,405.89,411.54,416.217,412.679,407.739,312.711,302.886,303.722,316.256,320.152,320.029,317.283,305.198,305.88,315.785,322.351,321.747,456.248,449.886,446.422,450.837,447.403,451.307,457.776,470.412,476.269,477.761,475.64,469.416,457.807,458.47,460.422,458.918,459.258,458.487,460.19,457.803,16.0121,16.9481,414.613,0.174279,0.0264435,0.0171169
440.547,440.873,445,450.557,461.036,478.644,501.01,529.44,564.367,599.565,629.998,655.103,673.61,685.101,692.309,697.425,699.4,461.53,478.701,501.799,525.166,547.674,599.888,623.289,644.762,665.193,679.264,574.294,574.093,573.954,573.764,545.798,558.692,571.934,585.886,598.346,489.721,504.06,522.542,536.941,521.458,503.011,608.847,624.134,642.059,654.573,642.936,625.582,519.529,539.139,556.912,571.424,588.197,605.401,620.289,605.048,587.842,570.297,554.711,537.372,527.86,556.154,571,588.122,612.634,587.526,570.577,555.781,300.893,338.256,375.526,412.189,449.456,482.993,511.877,534.716,541.764,536.211,513.411,483.984,451.657,417.062,382.67,348.238,311.717,289.93,277.681,274.362,278.143,284.717,284.89,278.588,276.5,280.767,292.57,311.767,337.41,363.279,389.722,406.026,411.686,416.319,412.806,407.843,312.928,303.005,303.78,316.206,320.252,320.192,317.109,305.102,305.777,315.64,322.246,321.679,456.05,450.394,446.997,451.384,447.885,451.285,457.132,468.899,474.75,476.572,474.403,468.568,457.706,458.794,460.812,459.048,458.752,457.619,459.685,457.243,15.9984,16.8285,414.873,0.188477,0.025014,0.0173494
440.635,440.881,444.964,450.488,460.885,478.442,500.852,529.461,564.376,599.46,629.753,654.856,673.507,685.19,692.542,697.743,699.763,461.696,478.793,501.808,525.113,547.586,599.827,623.136,644.538,664.99,679.283,574.273,574.129,574.034,573.868,545.815,558.757,572.049,585.995,598.486,489.644,504.001,522.516,537.027,521.455,502.966,608.911,624.323,642.282,654.858,643.182,625.759,519.66,539.308,557.037,571.435,588.063,605.25,620.227,604.897,587.707,570.314,554.866,537.577,528.015,556.243,570.981,587.95,612.552,587.356,570.574,555.886,300.199,337.404,374.489,411.13,448.488,482.355,511.659,534.87,542.065,536.55,513.882,484.44,452,417.23,382.505,347.747,310.913,290.086,277.765,274.456,278.227,284.715,284.92,278.691,276.662,280.951,292.821,311.918,337.522,363.36,389.794,406.024,411.683,416.32,412.824,407.923,313.106,303.256,304.042,316.472,320.543,320.484,317.366,305.392,306.086,315.874,322.563,322.006,456.116,450.507,447.024,451.399,447.926,451.401,457.283,469.114,474.833,476.591,474.424,468.647,457.804,458.799,460.82,459.084,458.894,457.769,459.762,457.309,15.9824,16.819,414.225,0.190824,0.0251701,0.018392
440.568,440.887,445.048,450.572,460.939,478.488,501.037,529.984,565.214,600.359,630.449,655.204,673.533,685.012,692.334,697.523,699.52,461.869,478.959,501.918,525.206,547.693,600.056,623.536,645.032,665.486,679.534,574.463,574.295,574.192,574.036,545.807,558.785,572.152,586.218,598.775,490.031,504.313,522.799,537.214,521.722,503.248,608.807,624.115,642.028,654.534,642.925,625.572,519.696,539.314,557.092,571.489,588.088,605.313,620.354,605.023,587.803,570.443,555.02,537.665,528.026,556.364,571.079,588.026,612.677,587.458,570.706,556.046,299.987,337.329,374.608,411.388,448.835,482.747,512.064,535.2,542.31,536.697,514.019,484.638,452.299,417.765,383.313,348.729,311.98,290.279,277.978,274.607,278.342,284.838,285.1,278.877,276.886,281.268,293.201,312.047,337.723,363.627,390.116,406.146,411.883,416.613,413.044,407.985,313.084,303.05,303.825,316.377,320.43,320.385,317.324,305.172,305.851,315.821,322.441,321.874,456.377,450.773,447.355,451.721,448.293,451.674,457.517,469.281,474.97,476.704,474.541,468.791,457.984,458.97,460.982,459.248,459.099,458.084,460.082,457.636,16.0502,16.9062,414.169,0.188547,0.0244948,0.0187784
440.572,440.94,445.189,450.813,461.224,478.57,500.707,529.291,564.498,599.741,629.981,654.909,673.442,685.033,692.416,697.673,699.696,461.84,479.03,501.965,525.241,547.703,600.052,623.606,645.222,665.762,679.846,574.53,574.416,574.358,574.242,545.781,558.872,572.353,586.499,599.143,490.012,504.342,522.788,537.349,521.783,503.337,608.752,624.135,642.032,654.671,642.889,625.529,519.577,539.335,557.242,571.693,588.391,605.757,620.904,605.5,588.153,570.694,555.206,537.729,527.96,556.492,571.264,588.308,613.188,587.797,570.953,556.228,300.227,337.584,374.919,411.626,448.897,482.709,512.035,535.415,542.907,537.714,515.322,485.925,453.488,418.828,384.174,349.371,312.448,290.413,278.207,274.887,278.642,285.166,285.471,279.158,277.191,281.691,293.786,312.238,337.914,363.787,390.262,406.283,412.05,416.797,413.203,408.163,313.303,303.446,304.195,316.541,320.543,320.558,317.523,305.562,306.31,316.126,322.65,322.029,456.655,450.972,447.509,451.902,448.473,451.931,457.832,469.724,475.474,477.172,474.96,469.076,458.325,459.234,461.26,459.563,459.398,458.358,460.292,457.794,16.0585,17.0309,413.203,0.184612,0.0232187,0.020417
440.651,441.017,445.289,450.822,461.041,478.319,500.712,529.759,565.102,600.239,630.268,654.973,673.4,684.979,692.438,697.749,699.751,461.825,479.04,501.999,525.246,547.711,600.166,623.647,645.22,665.82,680.145,574.635,574.56,574.529,574.423,545.966,559.039,572.488,586.589,599.217,489.982,504.34,522.966,537.605,521.922,503.292,608.926,624.435,642.479,655.116,643.397,625.883,519.693,539.379,557.183,571.695,588.441,605.771,620.918,605.533,588.215,570.703,555.176,537.794,528.117,556.413,571.249,588.345,613.171,587.825,570.945,556.162,300.221,337.362,374.453,411.097,448.421,482.478,512.182,535.759,543.222,537.976,515.67,486.365,453.953,419.303,384.541,349.56,312.399,290.492,278.319,275.158,278.971,285.457,285.734,279.354,277.332,281.677,293.69,312.281,337.967,363.881,390.395,406.477,412.234,416.971,413.429,408.448,313.185,303.061,303.839,316.588,320.614,320.603,317.521,305.163,305.857,315.931,322.635,322.056,456.94,451.24,447.722,452.131,448.694,452.261,458.291,469.93,475.492,477.142,474.917,469.125,458.561,459.443,461.494,459.79,459.792,458.44,460.345,457.817,16.0964,17.0423,412.793,0.181535,0.0226693,0.0212559
440.642,441.073,445.415,450.904,461.047,478.383,500.927,530.198,565.457,600.49,630.488,655.138,673.497,685.069,692.547,697.879,699.897,461.782,479.115,502.137,525.294,547.678,600.242,623.49,644.846,665.396,680.034,574.688,574.613,574.574,574.45,546.187,559.169,572.519,586.532,599.081,489.964,504.312,523.032,537.633,521.891,503.19,609.141,624.663,642.766,655.34,643.714,626.155,520.041,539.58,557.206,571.686,588.381,605.511,620.529,605.246,588.092,570.629,555.158,537.95,528.443,556.427,571.227,588.272,612.772,587.716,570.885,556.138,300.155,337.333,374.425,411.203,448.752,483.069,513.007,536.662,544.012,538.686,516.372,487.036,454.511,419.686,384.671,349.428,312.028,290.375,278.212,275.271,279.185,285.646,285.942,279.624,277.553,281.515,293.241,312.323,338.066,364.062,390.662,406.645,412.431,417.178,413.665,408.702,313.183,302.948,303.765,316.703,320.797,320.722,317.603,305.119,305.769,315.95,322.778,322.238,457.134,451.322,447.805,452.196,448.751,452.368,458.561,470.032,475.439,477.083,474.89,469.247,458.712,459.425,461.477,459.745,460.032,458.555,460.494,457.989,16.1217,17.1285,413.012,0.180348,0.0240852,0.0208826
440.698,441.135,445.446,450.919,461.023,478.249,500.725,530.133,565.567,600.641,630.591,655.227,673.612,685.191,692.696,698.142,700.275,461.611,479.051,502.308,525.729,548.275,600.024,623.721,645.578,666.484,681.109,574.736,574.669,574.628,574.509,546.073,559.13,572.547,586.618,599.237,489.849,504.259,523.076,537.812,521.97,503.16,609.151,624.871,643.043,655.716,643.974,626.309,519.958,539.595,557.27,571.725,588.399,605.657,620.817,605.432,588.2,570.753,555.301,538.023,528.419,556.487,571.257,588.28,613.012,587.767,570.964,556.234,300.026,337.116,374.158,410.856,448.278,482.59,512.736,536.776,544.317,538.971,516.616,487.163,454.525,419.553,384.39,349.055,311.555,290.448,278.246,275.408,279.428,286.082,286.405,279.876,277.761,281.988,294.06,312.583,338.264,364.204,390.762,406.693,412.517,417.285,413.733,408.773,313.154,302.945,303.783,316.755,320.848,320.789,317.771,305.25,305.96,316.122,323.005,322.438,457.031,451.313,447.834,452.239,448.816,452.447,458.572,470.259,475.687,477.274,475.057,469.29,458.616,459.451,461.525,459.826,459.986,458.699,460.59,458.035,16.1535,17.1164,412.131,0.180199,0.0238811,0.0219832
440.694,441.128,445.495,451.01,461.107,478.321,500.796,530.243,565.728,600.824,630.813,655.436,673.784,685.319,692.768,698.164,700.226,461.587,479.208,502.416,525.722,548.167,600.057,623.686,645.479,666.335,681.003,574.715,574.678,574.667,574.579,546.208,559.236,572.613,586.649,599.228,489.799,504.211,523.064,537.83,521.956,503.106,608.971,624.679,642.89,655.615,643.876,626.173,519.914,539.552,557.271,571.743,588.425,605.708,620.898,605.473,588.208,570.738,555.266,537.946,528.376,556.493,571.281,588.311,613.074,587.78,570.96,556.209,299.85,337.07,374.264,411.022,448.45,482.731,512.821,536.8,544.317,539.006,516.625,487.083,454.373,419.311,384.131,348.777,311.271,290.218,278.192,275.476,279.53,286.173,286.486,279.919,277.708,281.776,293.706,312.597,338.29,364.253,390.834,406.798,412.592,417.344,413.804,408.841,313.138,302.938,303.805,316.838,320.92,320.843,317.848,305.238,305.901,316.065,323.022,322.49,457.046,451.297,447.789,452.211,448.799,452.467,458.623,470.375,475.806,477.371,475.151,469.348,458.662,459.455,461.533,459.865,460.054,458.737,460.606,458.058,16.1539,17.1266,412.057,0.18271,0.0248131,0.0210267
440.791,441.145,445.407,450.871,460.984,478.241,500.705,529.96,565.189,600.147,630.084,654.89,673.484,685.277,692.844,698.243,700.265,461.554,479.107,502.377,525.772,548.248,599.831,623.471,645.317,666.273,680.957,574.684,574.648,574.638,574.551,546.094,559.115,572.514,586.557,599.131,489.678,504.127,522.966,537.721,521.85,503.001,608.959,624.665,642.854,655.583,643.838,626.14,519.899,539.563,557.249,571.605,588.171,605.328,620.461,605.031,587.838,570.497,555.119,537.868,528.34,556.42,571.109,588.017,612.693,587.445,570.747,556.098,300.061,337.246,374.423,411.17,448.57,482.723,512.626,536.442,543.936,538.617,516.236,486.7,454.016,418.905,383.602,348.132,310.517,290.38,278.321,275.572,279.634,286.291,286.464,279.883,277.625,281.756,293.777,312.749,338.504,364.521,391.151,406.922,412.747,417.492,413.975,409.045,313.248,303.126,304.002,317.002,321.058,320.978,317.872,305.281,305.936,316.016,323.007,322.498,457.141,451.471,447.949,452.381,448.956,452.626,458.679,470.489,475.898,477.44,475.201,469.387,458.782,459.597,461.681,460.022,460.137,458.826,460.667,458.114,16.0865,17.1518,412.144,0.185909,0.0239983,0.0209476
